City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
284,Kota Kinabalu,MY,5.9749,116.0724,75.18,83,20,6.91,few clouds
285,Cauquenes,CL,-35.9671,-72.3225,71.53,34,0,13.51,clear sky
286,Sakakah,SA,29.9697,40.2064,60.37,33,86,3.27,overcast clouds
287,Muyezerskiy,RU,63.9333,31.65,14.43,87,100,13.22,overcast clouds
288,Isla Mujeres,MX,21.2311,-86.731,77.92,76,99,7.47,overcast clouds
289,Faanui,PF,-16.4833,-151.75,81.34,76,100,14.27,light rain
290,Tecpan,GT,14.7623,-90.9947,66.96,52,1,6.93,clear sky
291,Sioux Lookout,CA,50.1001,-91.917,25.18,86,90,5.75,light snow
292,Torres,BR,-29.3353,-49.7269,78.82,72,44,1.32,scattered clouds
293,Puerto Carreno,CO,6.189,-67.4859,86.52,55,74,8.16,broken clouds
294,Le Port,RE,-20.9373,55.2919,76.96,97,33,3.65,light rain
295,Korla,CN,41.7597,86.1469,22.17,75,8,5.88,clear sky
296,Henties Bay,NA,-22.116,14.2845,59.86,92,0,5.59,clear sky
297,Kununurra,AU,-15.7667,128.7333,78.78,73,55,5.75,broken clouds
298,Flin Flon,CA,54.7682,-101.865,33.64,80,75,9.22,broken clouds
299,Copiapo,CL,-27.3667,-70.3333,60.49,42,0,7.02,clear sky
300,Albanel,CA,48.8832,-72.4487,22.98,58,43,1.14,scattered clouds
301,Ponta Delgada,PT,37.7333,-25.6667,60.49,63,75,5.75,broken clouds
302,Guerrero Negro,MX,27.9769,-114.0611,77.63,32,0,10.63,clear sky
303,Dudinka,RU,69.4058,86.1778,-11.38,94,100,6.73,overcast clouds
304,Gasa,PS,31.5,34.4667,77.88,34,33,13.06,scattered clouds
305,Luwuk,ID,-0.9516,122.7875,77.07,87,97,1.7,overcast clouds
306,Baytown,US,29.7355,-94.9774,73.24,64,0,4.59,clear sky
307,Saint-Pierre,RE,-21.3393,55.4781,76.64,81,40,5.75,scattered clouds
308,Rocha,UY,-34.4833,-54.3333,64.45,96,100,21.3,overcast clouds
309,Bandarbeyla,SO,9.4942,50.8122,77.45,71,22,19.1,few clouds
310,Amahai,ID,-3.3333,128.9167,79.43,85,100,1.3,overcast clouds
311,Dzerzhinsk,RU,56.2389,43.4631,37.22,100,90,6.71,overcast clouds
312,Manokwari,ID,-0.8667,134.0833,78.51,87,100,5.77,light rain
313,Conceicao Do Araguaia,BR,-8.2578,-49.2647,76.19,90,100,1.01,overcast clouds
314,Zhirnovsk,RU,50.9845,44.7735,46.44,87,100,25.1,light rain
315,Shimoda,JP,34.6667,138.95,46.11,72,14,7.23,few clouds
316,Luganville,VU,-15.5333,167.1667,83.3,74,96,5.46,moderate rain
317,Oudtshoorn,ZA,-33.5907,22.2014,62.96,71,64,4.61,broken clouds
318,Dafeng,CN,23.4517,108.5881,58.64,75,6,8.19,clear sky
319,Manggar,ID,-2.8833,108.2667,78.33,82,53,2.64,light rain
320,Lima,PE,-12.0432,-77.0282,69.13,73,75,12.66,broken clouds
321,Binzhou,CN,37.3667,118.0167,37.62,84,86,11.34,overcast clouds
322,Kinkala,CG,-4.3614,14.7644,71.13,92,71,2.57,broken clouds
323,Coldingham,GB,55.8868,-2.157,51.04,80,99,22.03,overcast clouds
324,Beyneu,KZ,45.3167,55.2,38.21,63,1,12.41,clear sky
325,Kahului,US,20.8947,-156.47,79.97,72,20,13.8,moderate rain
326,Berezovyy,RU,51.6667,135.7,4.44,95,100,2.68,overcast clouds
327,Muzhi,RU,65.3667,64.6667,-2.79,98,100,3.47,overcast clouds
328,Prince Rupert,CA,54.3161,-130.3201,44.29,93,90,16.11,moderate rain
329,Nanakuli,US,21.3906,-158.1547,80.55,68,90,10.36,light rain
330,Tias,ES,28.9611,-13.645,64.15,72,20,12.66,few clouds
331,Yarada,IN,17.65,83.2667,75.27,68,64,5.99,broken clouds
332,Gandajika,CD,-6.75,23.95,68.13,91,90,2.95,overcast clouds
333,Tazovskiy,RU,67.4667,78.7,-2.9,96,100,11.3,overcast clouds
334,Bowen,AU,-20.0167,148.2333,77.22,71,23,11.95,few clouds
335,Jaru,BR,-10.4389,-62.4664,79.99,84,57,1.74,broken clouds
336,Coquimbo,CL,-29.9533,-71.3436,62.33,72,40,11.5,scattered clouds
337,Wanning,CN,18.8003,110.3967,66.72,83,10,10.87,clear sky
338,Dzilam Gonzalez,MX,21.2833,-88.9333,79.07,69,88,8.43,overcast clouds
339,Porto Santo,PT,33.072,-16.3415,62.51,77,40,10.36,scattered clouds
340,Salisbury,GB,51.0693,-1.7957,45.48,84,90,8.05,overcast clouds
341,Rio Gallegos,AR,-51.6226,-69.2181,57.25,21,75,29.93,broken clouds
342,Ust-Kut,RU,56.7938,105.7672,7.25,97,100,2.77,overcast clouds
343,Narva-Joesuu,EE,59.4589,28.0408,26.8,93,100,18.39,light snow
